|model|average_time_per_epoch|binary_accuracy|val_binary_accuracy|brats_f1_score|val_brats_f1_score|loss|val_loss|
|u3d_inception_30_64_dropout_0.2|191.2815|0.9982|0.9981|0.6907|0.6112|0.0029|0.0033|
|use_inception_30_64|186.0150|0.9972|0.9972|0.3056|0.3796|0.0065|0.0091|
|use_30_64_dropout_0.2|313.5883|0.9968|0.7164|0.5347|0.2772|0.0958|1.9571|
|use_30_64|296.0747|0.9982|0.9977|0.7176|0.5903|0.0093|0.0638|
|use_res_30_64|331.6290|0.9982|0.9978|0.7209|0.5769|0.0029|0.0045|
|u3d_30_64_dropout_0.2|305.1904|0.9976|0.9977|0.5242|0.4222|0.0225|0.0206|
|baseline_30_64|56.0148|0.9975|0.9977|0.4442|0.4330|0.0054|0.0049|
|ures_30_64_dropout_0.2|350.1806|0.9984|0.9981|0.7790|0.6367|0.0022|0.0031|
|baseline_30_64_dropout_0.2|63.8444|0.9972|0.9975|0.3447|0.3836|0.0063|0.0052|
|use_inception_30_64_dropout_0.2|195.0391|0.9978|0.9973|0.5654|0.5273|0.0042|0.0055|
|use_res_30_64_dropout_0.2|352.4954|0.9983|0.9981|0.7615|0.6348|0.0025|0.0032|
|u3d_30_64|287.2559|0.9983|0.9982|0.7529|0.6389|0.0045|0.0050|
|u3d_inception_30_64|185.4796|0.9981|0.9979|0.6731|0.6204|0.0033|0.0036|
